Wavelength Global Direct Diffuse
300 0.00034 0.00007 0.00031
301 0.00111 0.00023 0.00099
302 0.00134 0.00029 0.00120
303 0.00411 0.00092 0.00365
304 0.00494 0.00113 0.00437
305 0.01048 0.00248 0.00924
306 0.01191 0.00289 0.01046
307 0.01894 0.00473 0.01657
308 0.02633 0.00676 0.02295
309 0.03035 0.00801 0.02635
310 0.03433 0.00930 0.02968
311 0.06729 0.01870 0.05794
312 0.05967 0.01701 0.05117
313 0.07909 0.02311 0.06754
314 0.08284 0.02480 0.07044
315 0.10182 0.03122 0.08621
316 0.08049 0.02527 0.06786
317 0.11945 0.03838 0.10026
318 0.11636 0.03824 0.09724
319 0.13511 0.04541 0.11241
320 0.13020 0.04472 0.10784
321 0.16606 0.05828 0.13692
322 0.14369 0.05151 0.11794
323 0.12765 0.04672 0.10429
324 0.16710 0.06241 0.13589
325 0.18215 0.06941 0.14745
326 0.25912 0.10070 0.20877
327 0.26280 0.10413 0.21073
328 0.21711 0.08768 0.17327
329 0.26450 0.10883 0.21008
330 0.27890 0.11688 0.22046
331 0.22494 0.09599 0.17695
332 0.25397 0.11032 0.19881
333 0.28880 0.12765 0.22497
334 0.24432 0.10986 0.18939
335 0.26582 0.12157 0.20504
336 0.20092 0.09342 0.15421
337 0.19269 0.09107 0.14716
338 0.23861 0.11460 0.18131
339 0.24212 0.11814 0.18305
340 0.27395 0.13576 0.20607
341 0.23418 0.11784 0.17526
342 0.24762 0.12649 0.18438
343 0.25068 0.12996 0.18570
344 0.22703 0.11943 0.16732
345 0.29383 0.15679 0.21543
346 0.32826 0.17765 0.23944
347 0.31450 0.17258 0.22821
348 0.29861 0.16612 0.21555
349 0.33007 0.18610 0.23702
350 0.34043 0.19450 0.24318
351 0.32273 0.18680 0.22933
352 0.33607 0.19703 0.23755
353 0.30731 0.18246 0.21608
354 0.35696 0.21459 0.24966
355 0.36447 0.22180 0.25357
356 0.34762 0.21411 0.24056
357 0.22317 0.13910 0.15362
358 0.24432 0.15407 0.16728
359 0.24742 0.15783 0.16851
360 0.36853 0.23777 0.24965
361 0.29407 0.19186 0.19814
362 0.32450 0.21405 0.21748
363 0.34763 0.23181 0.23173
364 0.34577 0.23304 0.22925
365 0.32810 0.22347 0.21636
366 0.45276 0.31158 0.29696
367 0.40671 0.28277 0.26533
368 0.38583 0.27096 0.25035
369 0.37118 0.26327 0.23955
370 0.43027 0.30818 0.27618
371 0.34475 0.24931 0.22009
372 0.36532 0.26671 0.23197
373 0.36656 0.27012 0.23149
374 0.28544 0.21229 0.17929
375 0.26254 0.19705 0.16402
376 0.37675 0.28531 0.23410
377 0.38784 0.29631 0.23968
378 0.50449 0.38881 0.31009
379 0.39032 0.30342 0.23862
380 0.36832 0.28875 0.22395
381 0.41275 0.32629 0.24960
382 0.30918 0.24644 0.18596
383 0.21569 0.17332 0.12903
384 0.23784 0.19265 0.14151
385 0.35716 0.29160 0.21136
386 0.27880 0.22941 0.16410
387 0.32030 0.26559 0.18751
388 0.31784 0.26555 0.18506
389 0.36137 0.30419 0.20928
390 0.44105 0.37400 0.25404
391 0.49030 0.41881 0.28090
392 0.43667 0.37569 0.24883
393 0.23446 0.20315 0.13288
394 0.25931 0.22626 0.14618
395 0.43683 0.38380 0.24494
396 0.44845 0.39669 0.25010
397 0.18230 0.16235 0.10113
398 0.51027 0.45745 0.28155
399 0.61324 0.55337 0.33655
400 0.60079 0.54565 0.32796
401 0.59882 0.54734 0.32515
402 0.63214 0.58145 0.34142
403 0.59127 0.54724 0.31765
404 0.63535 0.59166 0.33952
405 0.58356 0.54674 0.31019
406 0.57787 0.54465 0.30555
407 0.56141 0.53227 0.29528
408 0.60938 0.58113 0.31881
409 0.67193 0.64448 0.34969
410 0.56188 0.54200 0.29088
411 0.66062 0.64084 0.34020
412 0.68019 0.66349 0.34844
413 0.64181 0.62950 0.32707
414 0.63233 0.62356 0.32055
415 0.67377 0.66798 0.33977
416 0.66791 0.66568 0.33507
417 0.64737 0.64859 0.32308
418 0.63040 0.63485 0.31298
419 0.64640 0.65428 0.31926
420 0.54836 0.55785 0.26944
421 0.68591 0.70125 0.33529
422 0.65402 0.67193 0.31805
423 0.55164 0.56951 0.26689
424 0.60837 0.63109 0.29282
425 0.62812 0.65468 0.30079
426 0.60332 0.63177 0.28743
427 0.57840 0.60848 0.27415
428 0.58701 0.62038 0.27682
429 0.53197 0.56475 0.24959
430 0.42415 0.45230 0.19800
431 0.38356 0.41083 0.17814
432 0.68563 0.73759 0.31684
433 0.61138 0.66056 0.28110
434 0.58223 0.63175 0.26635
435 0.63249 0.68918 0.28790
436 0.69802 0.76377 0.31614
