Wavelength Global Direct Diffuse
300 0.00000 0.00000 0.00000
301 0.00000 0.00000 0.00000
302 0.00000 0.00000 0.00000
303 0.00000 0.00000 0.00000
304 0.00000 0.00000 0.00000
305 0.00001 0.00000 0.00001
306 0.00002 0.00000 0.00002
307 0.00005 0.00000 0.00005
308 0.00011 0.00000 0.00011
309 0.00020 0.00000 0.00020
310 0.00042 0.00000 0.00042
311 0.00102 0.00001 0.00101
312 0.00131 0.00002 0.00131
313 0.00237 0.00003 0.00237
314 0.00278 0.00004 0.00277
315 0.00485 0.00007 0.00483
316 0.00420 0.00007 0.00419
317 0.00739 0.00013 0.00736
318 0.00789 0.00015 0.00786
319 0.01267 0.00026 0.01263
320 0.00944 0.00021 0.00941
321 0.01899 0.00045 0.01891
322 0.01314 0.00033 0.01308
323 0.01401 0.00038 0.01394
324 0.02306 0.00067 0.02294
325 0.02038 0.00063 0.02027
326 0.03664 0.00121 0.03643
327 0.03858 0.00135 0.03835
328 0.02713 0.00101 0.02695
329 0.04244 0.00168 0.04215
330 0.04575 0.00192 0.04541
331 0.03252 0.00145 0.03227
332 0.04250 0.00200 0.04215
333 0.04883 0.00243 0.04841
334 0.03949 0.00208 0.03913
335 0.04654 0.00259 0.04609
336 0.03573 0.00210 0.03536
337 0.03276 0.00203 0.03241
338 0.04215 0.00274 0.04168
339 0.04392 0.00301 0.04340
340 0.04837 0.00348 0.04777
341 0.04271 0.00323 0.04215
342 0.04574 0.00363 0.04511
343 0.04633 0.00386 0.04566
344 0.04097 0.00357 0.04035
345 0.05464 0.00499 0.05377
346 0.06161 0.00589 0.06058
347 0.05906 0.00590 0.05803
348 0.05643 0.00590 0.05541
349 0.06277 0.00685 0.06158
350 0.06496 0.00740 0.06368
351 0.06138 0.00729 0.06012
352 0.06414 0.00794 0.06276
353 0.05884 0.00758 0.05753
354 0.06858 0.00920 0.06698
355 0.07025 0.00980 0.06855
356 0.06723 0.00975 0.06553
357 0.04330 0.00653 0.04217
358 0.04756 0.00744 0.04627
359 0.04832 0.00785 0.04696
360 0.07221 0.01217 0.07010
361 0.05781 0.01010 0.05605
362 0.06399 0.01158 0.06198
363 0.06877 0.01289 0.06653
364 0.06862 0.01331 0.06631
365 0.06532 0.01311 0.06305
366 0.09043 0.01876 0.08717
367 0.08149 0.01747 0.07845
368 0.07755 0.01718 0.07456
369 0.07484 0.01712 0.07186
370 0.08702 0.02054 0.08345
371 0.06994 0.01703 0.06698
372 0.07434 0.01866 0.07110
373 0.07482 0.01936 0.07146
374 0.05844 0.01558 0.05574
375 0.05391 0.01480 0.05134
376 0.07760 0.02193 0.07380
377 0.08013 0.02330 0.07608
378 0.10454 0.03126 0.09911
379 0.08113 0.02494 0.07680
380 0.07678 0.02426 0.07257
381 0.08629 0.02801 0.08143
382 0.06483 0.02161 0.06108
383 0.04536 0.01552 0.04267
384 0.05016 0.01761 0.04711
385 0.07555 0.02721 0.07082
386 0.05915 0.02185 0.05535
387 0.06815 0.02580 0.06366
388 0.06782 0.02631 0.06325
389 0.07732 0.03073 0.07198
390 0.09464 0.03852 0.08795
391 0.10550 0.04397 0.09787
392 0.09423 0.04019 0.08725
393 0.05073 0.02214 0.04689
394 0.05627 0.02511 0.05191
395 0.09505 0.04338 0.08752
396 0.09784 0.04564 0.08992
397 0.03988 0.01901 0.03658
398 0.11194 0.05451 0.10248
399 0.13489 0.06709 0.12324
400 0.13251 0.06730 0.12083
401 0.13243 0.06865 0.12051
402 0.14018 0.07415 0.12730
403 0.13146 0.07095 0.11914
404 0.14163 0.07797 0.12810
405 0.13043 0.07321 0.11772
406 0.12950 0.07410 0.11663
407 0.12614 0.07357 0.11336
408 0.13727 0.08157 0.12310
409 0.15175 0.09187 0.13579
410 0.12722 0.07844 0.11360
411 0.14993 0.09413 0.13358
412 0.15473 0.09889 0.13756
413 0.14634 0.09519 0.12981
414 0.14451 0.09565 0.12790
415 0.15434 0.10392 0.13629
416 0.15334 0.10502 0.13510
417 0.14896 0.10374 0.13094
418 0.14537 0.10294 0.12750
419 0.14939 0.10753 0.13072
420 0.12701 0.09291 0.11088
421 0.15921 0.11833 0.13866
422 0.15213 0.11486 0.13218
423 0.12859 0.09861 0.11146
424 0.14210 0.11067 0.12289
425 0.14702 0.11625 0.12684
426 0.14153 0.11360 0.12181
427 0.13599 0.11078 0.11675
428 0.13832 0.11435 0.11847
429 0.12563 0.10537 0.10733
430 0.10038 0.08541 0.08555
431 0.09096 0.07849 0.07733
432 0.16292 0.14257 0.13817
433 0.14557 0.12915 0.12314
434 0.13890 0.12493 0.11721
435 0.15119 0.13783 0.12725
436 0.16715 0.15442 0.14033
437 0.16954 0.15871 0.14198
438 0.15181 0.14398 0.12681
439 0.14682 0.14105 0.12232
440 0.16479 0.16034 0.13695
441 0.16443 0.16202 0.13630
442 0.17333 0.17293 0.14330
443 0.17485 0.17660 0.14418
444 0.17357 0.17746 0.14276
445 0.18351 0.18989 0.15054
446 0.16348 0.17118 0.13376
447 0.18667 0.19778 0.15233
448 0.18920 0.20280 0.15399
449 0.19081 0.20688 0.15488
450 0.19526 0.21413 0.15808
451 0.21117 0.23420 0.17050
452 0.19652 0.22039 0.15825
453 0.18271 0.20717 0.14674
454 0.19487 0.22337 0.15608
455 0.19644 0.22761 0.15692
456 0.20165 0.23614 0.16064
457 0.20297 0.24020 0.16126
458 0.19944 0.23850 0.15803
459 0.19882 0.24021 0.15710
460 0.19720 0.24069 0.15540
461 0.20471 0.25239 0.16088
462 0.20146 0.25087 0.15789
463 0.20213 0.25420 0.15799
464 0.20279 0.25753 0.15807
465 0.20046 0.25705 0.15583
466 0.20695 0.26791 0.16042
467 0.19948 0.26071 0.15421
468 0.21098 0.27833 0.16265
469 0.20951 0.27895 0.16107
470 0.20700 0.27815 0.15870
471 0.20654 0.28005 0.15791
472 0.21011 0.28746 0.16019
473 0.20761 0.28658 0.15785
474 0.21017 0.29268 0.15935
475 0.21885 0.30743 0.16547
476 0.21280 0.30151 0.16044
477 0.21080 0.30124 0.15849
478 0.22000 0.31705 0.16494
479 0.20984 0.30495 0.15689
480 0.21293 0.31201 0.15875
481 0.21135 0.31223 0.15713
482 0.21589 0.32153 0.16005
483 0.21634 0.32480 0.15994
484 0.20754 0.31408 0.15300
485 0.20901 0.31880 0.15365
486 0.17035 0.26186 0.12488
487 0.19153 0.29669 0.14001
488 0.20762 0.32410 0.15134
489 0.19362 0.30452 0.14074
490 0.22023 0.34899 0.15963
491 0.20599 0.32885 0.14889
492 0.19799 0.31840 0.14270
493 0.21304 0.34511 0.15311
494 0.20605 0.33620 0.14767
495 0.22116 0.36344 0.15805
496 0.21480 0.35549 0.15307
497 0.20844 0.34738 0.14812
498 0.20311 0.34086 0.14392
499 0.20199 0.34131 0.14272
500 0.20086 0.34172 0.14152
501 0.19640 0.33639 0.13799
502 0.19500 0.33623 0.13661
503 0.20626 0.35800 0.14409
504 0.19125 0.33413 0.13323
505 0.20560 0.36154 0.14282
506 0.22082 0.39081 0.15296
507 0.20569 0.36636 0.14207
508 0.19670 0.35256 0.13547
509 0.21306 0.38428 0.14633
510 0.20623 0.37428 0.14124
511 0.20660 0.37726 0.14109
512 0.21747 0.39954 0.14810
513 0.19863 0.36713 0.13488
514 0.19463 0.36189 0.13179
515 0.19816 0.37064 0.13380
516 0.20887 0.39298 0.14063
517 0.15357 0.29062 0.10311
518 0.18997 0.36158 0.12719
519 0.18050 0.34551 0.12050
520 0.19870 0.38252 0.13228
521 0.19847 0.38422 0.13175
522 0.20570 0.40043 0.13616
523 0.19161 0.37508 0.12648
524 0.20733 0.40807 0.13647
525 0.20495 0.40558 0.13452
526 0.19488 0.38772 0.12755
527 0.17015 0.34032 0.11105
528 0.20342 0.40903 0.13239
529 0.20813 0.42070 0.13508
530 0.19604 0.39833 0.12688
531 0.21388 0.43681 0.13803
532 0.20341 0.41755 0.13091
533 0.17931 0.36993 0.11507
534 0.19390 0.40206 0.12409
535 0.19810 0.41281 0.12642
536 0.20993 0.43961 0.13359
537 0.19559 0.41161 0.12412
538 0.20429 0.43199 0.12927
539 0.20351 0.43242 0.12842
540 0.19956 0.42606 0.12558
541 0.18258 0.39164 0.11457
542 0.20367 0.43894 0.12745
543 0.19512 0.42247 0.12176
544 0.20555 0.44712 0.12791
545 0.20228 0.44201 0.12552
546 0.19708 0.43260 0.12196
547 0.20548 0.45309 0.12680
548 0.19079 0.42258 0.11741
549 0.20025 0.44549 0.12289
550 0.19609 0.43816 0.12001
551 0.19500 0.43763 0.11901
552 0.20340 0.45844 0.12379
553 0.19493 0.44124 0.11831
554 0.20226 0.45979 0.12242
555 0.20222 0.46163 0.12205
556 0.19690 0.45138 0.11852
557 0.19063 0.43882 0.11443
558 0.19795 0.45755 0.11850
559 0.18735 0.43481 0.11184
560 0.18840 0.43905 0.11216
561 0.20638 0.48286 0.12253
562 0.18871 0.44330 0.11173
563 0.19618 0.46268 0.11584
564 0.19301 0.45700 0.11366
565 0.19364 0.46026 0.11371
566 0.17707 0.42252 0.10370
567 0.18900 0.45271 0.11038
568 0.18736 0.45050 0.10913
569 0.18381 0.44363 0.10677
570 0.18398 0.44571 0.10658
571 0.17591 0.42776 0.10163
572 0.18774 0.45821 0.10817
573 0.18909 0.46321 0.10866
574 0.18864 0.46378 0.10810
575 0.18523 0.45704 0.10586
576 0.18228 0.45137 0.10390
577 0.19174 0.47652 0.10900
578 0.18702 0.46641 0.10602
579 0.18618 0.46595 0.10527
580 0.19346 0.48587 0.10909
581 0.19018 0.47927 0.10695
582 0.19399 0.49055 0.10880
583 0.19541 0.49583 0.10931
584 0.19409 0.49416 0.10828
585 0.19162 0.48950 0.10662
586 0.18041 0.46241 0.10012
587 0.18360 0.47215 0.10162
588 0.17909 0.46204 0.09885
589 0.15709 0.40661 0.08648
590 0.16239 0.42170 0.08916
591 0.16926 0.44096 0.09269
592 0.16602 0.43390 0.09068
593 0.16673 0.43713 0.09082
594 0.16947 0.44570 0.09207
595 0.16831 0.44405 0.09120
596 0.17189 0.45488 0.09290
597 0.17482 0.46408 0.09423
598 0.17340 0.46172 0.09322
599 0.17620 0.47061 0.09448
600 0.17812 0.47717 0.09526
601 0.18019 0.48415 0.09612
602 0.18093 0.48758 0.09626
603 0.18413 0.49767 0.09771
604 0.19110 0.51804 0.10115
605 0.19136 0.52025 0.10102
